No,;Time;;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;;Delay1;;Delay 2;;Jitter
96;3.064.802;3,064802;104,22,1,235;192,168,100,98;TCP;54;443  >  56804 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;3,064802;3,07644;;0,011638;;0,001753;;0,009885
97;3.076.440;3,07644;104,22,1,235;192,168,100,98;TLSv1;177;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;3,07644;3,078193;;0,001753;;0,051266;;0,049513
98;3.078.193;3,078193;192,168,100,98;104,22,1,235;TLSv1;699;Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data;;;3,078193;3,129459;;0,051266;;0,008935;;0,042331
99;3.129.459;3,129459;192,168,100,98;74,125,68,91;TCP;844;[TCP Retransmission] 56441  >  443 [PSH, ACK] Seq=1 Ack=1 Win=4134 Len=790;;;3,129459;3,138394;;0,008935;;8,40E-05;;0,008851
100;3.138.394;3,138394;104,22,1,235;192,168,100,98;TCP;56;443  >  56804 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;3,138394;3,138478;;8,40E-05;;0,056989;;0,056905
101;3.138.478;3,138478;192,168,100,98;104,22,1,235;TLSv1;160;Application Data, Application Data;;;3,138478;3,195467;;0,056989;;0,238715;;0,181726
102;3.195.467;3,195467;104,22,1,235;192,168,100,98;TCP;56;443  >  56804 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;3,195467;3,434182;;0,238715;;0,000113;;0,238602
104;3.434.182;3,434182;104,22,1,235;192,168,100,98;TCP;54;[TCP Previous segment not captured] 443  >  56804 [FIN, ACK] Seq=1009 Ack=1070 Win=68608 Len=0;;;3,434182;3,434295;;0,000113;;0,011986;;0,011873
105;3.434.295;3,434295;192,168,100,98;104,22,1,235;TCP;54;[TCP Dup ACK 98#1] 56804  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;3,434295;3,446281;;0,011986;;0,000104;;0,011882
106;3.446.281;3,446281;104,22,1,235;192,168,100,98;TCP;939;[TCP Out-Of-Order] 443  >  56804 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=885;;;3,446281;3,446385;;0,000104;;0,000454;;0,00035
107;3.446.385;3,446385;192,168,100,98;104,22,1,235;TCP;54;56804  >  443 [ACK] Seq=1070 Ack=1010 Win=130560 Len=0;;;3,446385;3,446839;;0,000454;;0,040533;;0,040079
108;3.446.839;3,446839;192,168,100,98;104,22,1,235;TCP;54;56804  >  443 [FIN, ACK] Seq=1070 Ack=1010 Win=130560 Len=0;;;3,446839;3,487372;;0,040533;;0,017937;;0,022596
110;3.487.372;3,487372;192,168,100,98;104,22,1,235;TCP;66;56805  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;3,487372;3,505309;;0,017937;;0,034265;;0,016328
111;3.505.309;3,505309;104,22,1,235;192,168,100,98;TCP;56;443  >  56804 [ACK] Seq=1010 Ack=1071 Win=68608 Len=0;;;3,505309;3,539574;;0,034265;;0,000238;;0,034027
112;3.539.574;3,539574;104,22,1,235;192,168,100,98;TCP;66;443  >  56805 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;3,539574;3,539812;;0,000238;;0,00095;;0,000712
113;3.539.812;3,539812;192,168,100,98;104,22,1,235;TCP;54;56805  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;3,539812;3,540762;;0,00095;;0,050729;;0,049779
114;3.540.762;3,540762;192,168,100,98;104,22,1,235;TLSv1;372;Client Hello;;;3,540762;3,591491;;0,050729;;0,01738;;0,033349
115;3.591.491;3,591491;104,22,1,235;192,168,100,98;TCP;54;443  >  56805 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;3,591491;3,608871;;0,01738;;0,002283;;0,015097
